YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC,FUEL_CONSUMPTION_TONNES
2011,7,SPAIN,1578493.56,82589,499523.28
2011,7,SWEDEN,239797.59,18454,75885.31
2011,8,AUSTRIA,205806.9,16278,65128.76
2011,8,BELGIUM,375523.5,14263,118836.55
2011,8,BULGARIA,93409.14,5507,29559.86
2011,8,CROATIA,57671.73,5829,18250.55
2011,8,CYPRUS,119355.17,3735,37770.62
2011,8,DENMARK,236924.79,16261,74976.2
2011,8,FINLAND,191850.73,12396,60712.26
2011,8,FRANCE,1869821.17,86315,591715.56
2011,8,GERMANY,2582051.67,101506,817104.96
2011,8,GREECE,484891.65,29202,153446.72
2011,8,HUNGARY,74063.16,5544,23437.71
2011,8,IRELAND,198663.12,10823,62868.08
2011,8,ITALY,1247387.93,87072,394743.01
2011,8,LATVIA,37410.7,3625,11838.83
2011,8,LITHUANIA,18920.39,1917,5987.46
2011,8,LUXEMBOURG,105578.72,2420,33410.99
2011,8,MALTA,31368.76,1711,9926.82
2011,8,NETHERLANDS,918404.98,26038,290634.49
2011,8,POLAND,172422.68,14659,54564.14
2011,8,PORTUGAL,341620.34,16172,108107.7
2011,8,ROMANIA,82210.89,7437,26016.1
2011,8,SLOVAKIA,20032.42,1882,6339.37
2011,8,SLOVENIA,12759.25,1753,4037.74
2011,8,SPAIN,1562697.46,80389,494524.51
2011,8,SWEDEN,249827.86,22866,79059.45
2011,9,AUSTRIA,205701.5,16890,65095.41
2011,9,BELGIUM,367320.17,15008,116240.56
2011,9,BULGARIA,66640.34,4256,21088.71
2011,9,CROATIA,45933.95,4688,14536.06
2011,9,CYPRUS,108652.6,3352,34383.73
2011,9,DENMARK,215938.96,16601,68335.11
2011,9,FINLAND,193562.0,13699,61253.8
2011,9,FRANCE,1769896.84,91136,560093.94
2011,9,GERMANY,2565373.57,107639,811827.08
2011,9,GREECE,417631.51,24527,132161.87
2011,9,HUNGARY,68896.61,5470,21802.73
2011,9,IRELAND,180885.96,10007,57242.39
2011,9,ITALY,1151846.76,82563,364508.47
2011,9,LATVIA,33346.11,3309,10552.57
2011,9,LITHUANIA,18718.22,1864,5923.49
2011,9,LUXEMBOURG,95222.31,2504,30133.64
2011,9,MALTA,30526.01,1656,9660.13
2011,9,NETHERLANDS,861298.31,25179,272562.76
2011,9,POLAND,170730.76,14931,54028.72
2011,9,PORTUGAL,311960.74,14628,98721.75
2011,9,ROMANIA,78970.43,7318,24990.64
2011,9,SLOVAKIA,17150.07,1723,5427.24
2011,9,SLOVENIA,13039.08,1661,4126.29
2011,9,SPAIN,1463307.41,76390,463071.97
2011,9,SWEDEN,258167.98,26018,81698.73
2011,10,AUSTRIA,198897.52,15993,62942.25
2011,10,BELGIUM,367871.95,14421,116415.17
2011,10,BULGARIA,33960.62,2540,10747.03
2011,10,CROATIA,28478.38,3537,9012.15
2011,10,CYPRUS,98849.29,3149,31281.42
2011,10,DENMARK,217604.01,16142,68862.03
2011,10,FINLAND,196982.07,13264,62336.1
2011,10,FRANCE,1720275.03,85675,544390.83
2011,10,GERMANY,2599395.87,105127,822593.63
2011,10,GREECE,270712.55,17897,85668.53
2011,10,HUNGARY,65405.79,5237,20698.03
2011,10,IRELAND,162649.6,9408,51471.39
2011,10,ITALY,1089892.68,75134,344902.75
2011,10,LATVIA,31201.0,3054,9873.73
2011,10,LITHUANIA,18286.14,1777,5786.75
2011,10,LUXEMBOURG,99416.55,2487,31460.93
2011,10,MALTA,29821.87,1593,9437.3
2011,10,NETHERLANDS,882420.45,24990,279246.98
2011,10,POLAND,141516.56,13541,44783.72
2011,10,PORTUGAL,287650.04,13744,91028.5
2011,10,ROMANIA,72671.91,6818,22997.44
2011,10,SLOVAKIA,11143.89,1306,3526.55
2011,10,SLOVENIA,10899.45,1488,3449.19
2011,10,SPAIN,1332266.36,70849,421603.28
2011,10,SWEDEN,258075.04,25423,81669.32
2011,11,AUSTRIA,179027.04,14505,56654.13
2011,11,BELGIUM,330549.83,12718,104604.38
2011,11,BULGARIA,24551.06,1952,7769.32
2011,11,CROATIA,12457.37,1960,3942.21
2011,11,CYPRUS,52975.62,1983,16764.44
2011,11,DENMARK,194790.53,14655,61642.57
2011,11,FINLAND,178483.77,12552,56482.21
2011,11,FRANCE,1521396.38,75988,481454.55
2011,11,GERMANY,2320512.79,94257,734339.49
2011,11,GREECE,109235.87,10763,34568.31
